Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_Login,Chrome 110.0.0.0,,,2023-02-14 14:32:50,2023-02-14 14:33:20,30.543s,PASSED
,,,,,,,
Test Cases/TC_1.1,Chrome 110.0.0.0,,,2023-02-14 14:32:50,2023-02-14 14:33:07,16.348s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 110.0.0.0,,,2023-02-14 14:32:51,2023-02-14 14:33:02,10.686s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button-bars-for-login""))",Chrome 110.0.0.0,,,2023-02-14 14:33:02,2023-02-14 14:33:02,0.598s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button_Login_awal""))",Chrome 110.0.0.0,,,2023-02-14 14:33:02,2023-02-14 14:33:04,1.248s,PASSED
"setText(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/input_Username_username""), ""John Die"")",Chrome 110.0.0.0,,,2023-02-14 14:33:04,2023-02-14 14:33:05,1.097s,PASSED
"setEncryptedText(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 110.0.0.0,,,2023-02-14 14:33:05,2023-02-14 14:33:06,0.758s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button_Login_dalam""))",Chrome 110.0.0.0,,,2023-02-14 14:33:06,2023-02-14 14:33:07,1.242s,PASSED
,,,,,,,
Test Cases/TC_1.2,Chrome 110.0.0.0,,,2023-02-14 14:33:07,2023-02-14 14:33:20,13.599s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 110.0.0.0,,,2023-02-14 14:33:08,2023-02-14 14:33:16,7.983s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button-bars-for-login""))",Chrome 110.0.0.0,,,2023-02-14 14:33:16,2023-02-14 14:33:16,0.640s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button_Login_awal""))",Chrome 110.0.0.0,,,2023-02-14 14:33:16,2023-02-14 14:33:17,1.197s,PASSED
"setText(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 110.0.0.0,,,2023-02-14 14:33:17,2023-02-14 14:33:18,0.950s,PASSED
"setEncryptedText(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 110.0.0.0,,,2023-02-14 14:33:18,2023-02-14 14:33:19,0.716s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button_Login_dalam""))",Chrome 110.0.0.0,,,2023-02-14 14:33:19,2023-02-14 14:33:20,1.280s,PASSED
